layer 1 neurons,Layer 2 Neurons,Layer 3 Neurons,,activation Kernal,Output,epohs,Accuracy Result,Highs,,,
80,,,,sig,sig,100,0.7259,,,,
200,,,,sig,sig,100,0.7226,,,,
80,,,,relu,sig,100,0.7265,,,,
200,,,,relu,sig,100,0.7273,one_layer_interim_high,,,
300,,,,relu,sig,100,0.7253,,,,
250,,,,relu,sig,100,0.7269,,,,
150,,,,relu,sig,100,0.7243,,,,
200,,,,relu,relu,100,0.7181,,,,
200,,,,sig,relu,100,0.4668,,,,
200,200,,,relu,sig,100,0.7251,,,,
200,100,,,relu,sig,100,0.7257,two_layer_interim_high_tie,,,
200,150,,,relu,sig,100,0.7265,,,,
200,175,,,relu,sig,100,0.7257,two_layer_interim_high_tie,,,
200,125,,,relu,sig,100,0.7254,,,,
200,200,,,sig,sig,100,0.7266,,,,
200,100,,,relu,sig,100,0.728,,,,
200,200,200,,sig,sig,100,0.7271,,,,
300,200,200,,sig,sig,100,0.7259,,,,
200,150,100,,sig,sig,100,0.7264,,,,
200,200,100,,sig,sig,100,0.728,three_layer_interim_high,,,2nd run - 0.7267
200,200,100,,sig,sig,200,0.7254,,,,
200,200,100,,sig,sig,300,0.7254,,,,
200,200,100,,sig,sig,75,0.7266,,,,
200,200,50,,sig,sig,100,0.7252,,,,
200,200,75,,sig,sig,100,0.7255,,,,
200,200,125,,sig,sig,100,0.7279,,,,
200,200,110,,sig,sig,100,0.7267,,,,
200,200,100,,relu,sig,100,0.7251,,,,
200,200,100,50,sig,sig,100,0.7253,,,,
200,200,200,50,sig,sig,100,0.7269,,,,
200,200,200,50,sig,sig,200,0.72699,,,,
200,200,200,50,sig,sig,300,0.7258,,,,
